alpha,beta,kl,L(z)
0.0,0.1,5.763870716094971,168.764892578125
0.0,0.1,5.626884460449219,601.1648559570312
0.0,0.1,6.182412147521973,216.4661102294922
0.0,0.1,4.650106906890869,96.65419006347656
0.1,0.1,95.17530059814453,11.191777229309082
0.1,0.1,109.03826141357422,4.612441539764404
0.1,0.1,147.80926513671875,8.60000228881836
0.1,0.1,228.18577575683594,15.39511775970459
0.2,0.1,136.4486846923828,24.382177352905273
0.2,0.1,233.3514404296875,13.105914115905762
0.2,0.1,623.6781005859375,16.58987808227539
0.2,0.1,279.17535400390625,23.164525985717773
0.3,0.1,106.95682525634766,21.511991500854492
0.3,0.1,66.70970153808594,5.337257385253906
0.3,0.1,717.5493774414062,8.806781768798828
0.3,0.1,686.2354125976562,19.534093856811523
0.4,0.1,73.14946746826172,6.4960527420043945
0.4,0.1,416.9643249511719,8.361876487731934
0.4,0.1,603.5780639648438,5.95098352432251
0.4,0.1,396.81402587890625,11.662155151367188
0.0,0.2,5.003368854522705,120.68724060058594
0.0,0.2,4.704102993011475,228.25804138183594
0.0,0.2,5.2056965827941895,999.9999389648438
0.0,0.2,3.79042649269104,150.91452026367188
0.1,0.2,554167.3125,7.890554428100586
0.1,0.2,5.623911380767822,4.297963619232178
0.1,0.2,72.01345825195312,25.295629501342773
0.1,0.2,56.1901741027832,7.429755210876465
0.2,0.2,167609739771904.0,5.250998020172119
0.2,0.2,107.16032409667969,5.143153667449951
0.2,0.2,76.51697540283203,6.313192367553711
0.2,0.2,105.6772232055664,10.327204704284668
0.3,0.2,38.97728729248047,11.302526473999023
0.3,0.2,212.23374938964844,10.340946197509766
0.3,0.2,293.2505798339844,5.6576828956604
0.3,0.2,33.197288513183594,6.761200428009033
0.4,0.2,66.00102233886719,10.516321182250977
0.4,0.2,236.60467529296875,6.365976333618164
0.4,0.2,342.2920227050781,7.36043119430542
0.4,0.2,464.36749267578125,12.813762664794922
0.0,0.3,4.274722099304199,127.61376190185547
0.0,0.3,4.265438079833984,560.9085083007812
0.0,0.3,4.898899078369141,105.40776062011719
0.0,0.3,3.3124468326568604,115.34318542480469
0.1,0.3,inf,11.540432929992676
0.1,0.3,20.47630500793457,5.651234149932861
0.1,0.3,37.45132827758789,5.2676849365234375
0.1,0.3,3.612351179122925,6.711349964141846
0.2,0.3,16.182024002075195,8.934825897216797
0.2,0.3,31.460893630981445,3.9507198333740234
0.2,0.3,153.4692840576172,13.215826988220215
0.2,0.3,40.21297836303711,13.221152305603027
0.3,0.3,19.492708206176758,5.1827287673950195
0.3,0.3,176.97457885742188,11.304165840148926
0.3,0.3,249.7324981689453,9.935164451599121
0.3,0.3,14.215448379516602,3.2036027908325195
0.4,0.3,49.846473693847656,6.638014316558838
0.4,0.3,103.5224609375,2.664547920227051
0.4,0.3,281.6665344238281,6.443558692932129
0.4,0.3,7.752161502838135,3.804427146911621
0.0,0.4,4.013495922088623,154.9591064453125
0.0,0.4,3.822309970855713,597.1934204101562
0.0,0.4,4.471090316772461,132.42288208007812
0.0,0.4,3.0171422958374023,120.35901641845703
0.1,0.4,4.947479724884033,4.335517406463623
0.1,0.4,4.490771293640137,4.999276638031006
0.1,0.4,7.348388671875,3.84409761428833
0.1,0.4,2.408341407775879,5.010232448577881
0.2,0.4,88201560.0,5.473021984100342
0.2,0.4,78.46492004394531,13.485756874084473
0.2,0.4,5.4220194816589355,3.9217686653137207
0.2,0.4,8822.673828125,3.1979846954345703
0.3,0.4,166.66033935546875,22.815824508666992
0.3,0.4,70.56819152832031,6.071297645568848
0.3,0.4,7.012537956237793,4.468085289001465
0.3,0.4,20.50052833557129,5.685573101043701
0.4,0.4,62.9500732421875,11.775389671325684
0.4,0.4,30.80173110961914,2.3630521297454834
0.4,0.4,240.8348388671875,4.396370887756348
0.4,0.4,5.2913713455200195,4.20985221862793
0.0,0.5,5.9419965744018555,293.13128662109375
0.0,0.5,3.793117046356201,263.2729797363281
0.0,0.5,4.1884765625,155.37213134765625
0.0,0.5,2.803056478500366,116.86322784423828
0.1,0.5,1.8875590903976606e+21,6.024153709411621
0.1,0.5,4.207796573638916,4.350499629974365
0.1,0.5,4.669726371765137,4.922418594360352
0.1,0.5,2.036675453186035,5.554441452026367
0.2,0.5,130127.2890625,4.366058826446533
0.2,0.5,4.1550445556640625,4.852589130401611
0.2,0.5,76.5496597290039,9.25516414642334
0.2,0.5,14.248627662658691,8.02101993560791
0.3,0.5,32195766.0,3.9349591732025146
0.3,0.5,7.148012161254883,2.9624626636505127
0.3,0.5,114.31314849853516,13.865251541137695
0.3,0.5,36.8184814453125,10.481452941894531
0.4,0.5,1485.2574462890625,3.082764148712158
0.4,0.5,78.1302261352539,5.967578411102295
0.4,0.5,223.3610382080078,6.420551776885986
0.4,0.5,11.66089153289795,3.174837827682495
0.0,0.6,3.561039447784424,94.79373931884766
0.0,0.6,3.6441476345062256,492.8695068359375
0.0,0.6,4.305535793304443,129.2610626220703
0.0,0.6,2.640507936477661,87.11785888671875
0.1,0.6,4.101353645324707,6.196771621704102
0.1,0.6,3.7196366786956787,5.100551605224609
0.1,0.6,4.055595397949219,4.894888877868652
0.1,0.6,2.6029770374298096,5.60273551940918
0.2,0.6,177224646656.0,3.264465808868408
0.2,0.6,2112790.25,3.713038921356201
0.2,0.6,8.274566650390625,4.182112216949463
0.2,0.6,3.721824884414673,8.65828800201416
0.3,0.6,3.5828795433044434,4.252290725708008
0.3,0.6,104.17243957519531,33.76225662231445
0.3,0.6,53.18037414550781,2.7985939979553223
0.3,0.6,2.76995587348938,4.435278415679932
0.4,0.6,27.933242797851562,12.305291175842285
0.4,0.6,20.758825302124023,3.619858980178833
0.4,0.6,124.1020736694336,6.168139934539795
0.4,0.6,21.776382446289062,4.083881855010986
